city,n_valid_cells,urban_share,periurban_share,noah_any_share,noah_active_share,noah_high_share,urban_noah_active_share,noah_active_urban_share,philsa_any_share,philsa_any_in_noah_active_share,philsa_mean_freq_noah_active,ai4g_any_share,ai4g_any_in_noah_active_share,ai4g_mean_freq_noah_active,satellite_any_share,satellite_any_in_noah_active_share,event_flooded_cells_total,event_flooded_cells_in_noah_active,event_weighted_noah_recall,slug,philsa_files_in_buffer,groundsource_polygons_in_buffer,noah_active_cells,philsa_spearman_noah_vs_count,groundsource_spearman_noah_vs_score,active_cells_with_any_philsa_share,active_cells_with_any_groundsource_share,active_cells_with_hot_philsa_share,active_cells_with_hot_groundsource_share,active_cells_supported_share,active_cells_sat_gap_share,active_cells_weak_obs_share,active_cells_philsa_only_share
Butuan,4297,0.18920176867582034,0.2711193856178729,0.0,0.0,0.0,0.0,,0.06492902024668373,,,0.2569234349546195,,,0.2815918082383058,,483,0,0.0,,,,,,,,,,,,,,
Cagayan de Oro,4952,0.32653473344103395,0.18861066235864296,0.10197899838449112,0.06603392568659128,0.02544426494345719,0.0537156704361874,0.8134556574923547,0.01474151857835218,0.024464831804281346,0.0020387359836901123,0.04099353796445881,0.09174311926605505,0.0010476837693963075,0.05472536348949919,0.11314984709480122,436,17,0.0389908256880734,cagayan_de_oro,15.0,98.0,327.0,0.0371739566196505,0.2171914944349455,0.0244648318042813,1.0,0.0030581039755351,1.0,0.0030581039755351,0.9969418960244648,0.0,0.0
Cotabato,4362,0.21274644658413572,0.15405777166437415,0.17400275103163687,0.03415864282439248,0.004355800091701055,0.005731315910132966,0.16778523489932887,0.15061898211829436,0.1342281879194631,0.01761744966442953,0.20678587803759743,0.18120805369127516,0.0023636583219751213,0.29138010087116,0.24161073825503357,1150,33,0.028695652173913042,cotabato,16.0,104.0,149.0,0.0728583650219992,0.0908540834916496,0.1342281879194631,1.0,0.0738255033557047,0.6577181208053692,0.046979865771812,0.610738255033557,0.3154362416107382,0.0268456375838926
Daet,2631,0.2516153553781832,0.42949448878753327,0.36107943747624477,0.2113264918282022,0.06917521854808058,0.04865070315469403,0.2302158273381295,0.18167996959331054,0.20323741007194246,0.025479616306954434,0.370961611554542,0.420863309352518,0.011668403792866766,0.39718738122386926,0.44064748201438847,1040,261,0.25096153846153846,,,,,,,,,,,,,,
Dagupan,4603,0.7675429067999131,0.16532696067781882,0.29915272648272867,0.12209428633499891,0.034542689550293285,0.07734086465348686,0.6334519572953736,0.22376710840756028,0.304270462633452,0.030168230346166287,0.5811427330002172,0.608540925266904,0.009096975088967972,0.6148164240712579,0.6725978647686833,5460,665,0.12179487179487179,dagupan,22.0,389.0,562.0,0.1928823375152953,0.0830184866719666,0.304270462633452,0.998220640569395,0.1779359430604982,0.7135231316725978,0.1263345195729537,0.5871886120996441,0.2348754448398576,0.0516014234875444
Ilagan,4806,0.05867665418227216,0.31543903454015815,0.4910528506034124,0.44735746982937996,0.40262172284644193,0.029546400332917187,0.06604651162790698,0.274240532667499,0.43348837209302327,0.03552602436323366,0.37203495630461925,0.6772093023255814,0.01069767441860465,0.4581772784019975,0.7530232558139535,3639,2987,0.8208298983237153,,,,,,,,,,,,,,
Manila,11997,0.9763274151871301,0.006168208718846378,0.20846878386263232,0.10902725681420355,0.02700675168792198,0.10869384012669835,0.9969418960244648,0.09760773526715012,0.10703363914373089,0.004678899082568808,0.06526631657914479,0.03669724770642202,0.00037966256839127086,0.15595565558056182,0.1345565749235474,5337,297,0.05564924114671164,manila,25.0,2652.0,1311.0,0.0597789367048616,0.381518988006137,0.1075514874141876,1.0,0.0061022120518688,0.9992372234935164,0.0061022120518688,0.9931350114416476,0.0007627765064836,0.0
Naga,4964,0.27215954875100723,0.37610797743755037,0.4615229653505238,0.23670427074939565,0.09689766317485898,0.062449637389202256,0.26382978723404255,0.4965753424657534,0.6663829787234042,0.12425531914893617,0.5624496373892023,0.7940425531914893,0.039567845020283134,0.6275181305398871,0.8102127659574468,7039,2626,0.37306435573234836,,,,,,,,,,,,,,
San Fernando,6781,0.496386963574694,0.29346704025954873,0.4934375460846483,0.22931720985105442,0.030084058398466302,0.09482377230496977,0.4135048231511254,0.276065477068279,0.44887459807073954,0.045980707395498394,0.47190679840731453,0.6180064308681672,0.018753288512130956,0.5508037162660374,0.692604501607717,6267,2524,0.40274453486516676,,,,,,,,,,,,,,
Tuguegarao,4737,0.15009499683343888,0.23137006544226305,0.3348110618534938,0.1984378298501161,0.08760819083808317,0.01836605446485117,0.0925531914893617,0.36858771374287524,0.5297872340425532,0.05207930367504836,0.4969389909225248,0.723404255319149,0.019552039764805722,0.578214059531349,0.7723404255319148,6542,2294,0.35065729134821155,tuguegarao,22.0,173.0,940.0,0.2921498046463799,-0.0031035065442444,0.5297872340425532,1.0,0.3138297872340425,0.6404255319148936,0.2117021276595744,0.4287234042553191,0.2574468085106383,0.102127659574468
